X,Y,"fid","station_id","date_from","date_to","altitude","latitude","longitude","name","state"
317992.585944758,5616772.80217749,"46","3591","2004/06/01","2020/11/04","350",50.6743,6.424,"Nideggen-Schmidt","Nordrhein-Westfalen"
386433.39553645,5729684.84081699,"47","3795","2004/12/01","2020/11/04","49",51.7066,7.3564,"Olfen","Nordrhein-Westfalen"
501197.946244781,5803493.500723,"48","3913","2004/07/01","2020/11/04","43",52.3817,9.0176,"Petershagen","Nordrhein-Westfalen"
472174.757571459,5810735.42326058,"49","4063","2003/07/01","2020/11/04","41",52.4461,8.5906,"Rahden-Kleinendorf","Nordrhein-Westfalen"
408467.952460297,5649589.12292063,"50","4127","2005/01/01","2020/11/04","347",50.9906,7.6958,"Reichshof-Eckenhagen","Nordrhein-Westfalen"
368382.283980834,5741830.34446243,"51","4150","2005/12/01","2020/11/04","59",51.8118,7.0907,"Reken","Nordrhein-Westfalen"
460723.492150617,5705202.8070319,"52","4313","2004/08/01","2020/11/04","370",51.4966,8.4342,"Rüthen","Nordrhein-Westfalen"
470953.123486315,5728845.78352267,"53","4368","2004/10/01","2020/11/04","93",51.7098,8.5796,"Salzkotten","Nordrhein-Westfalen"
483021.084985538,5772656.72178717,"54","4371","1995/09/01","2020/11/04","135",52.1042,8.7521,"Salzuflen, Bad","Nordrhein-Westfalen"
443192.166512357,5710629.47984482,"55","4400","2004/08/01","2020/11/04","171",51.5439,8.1808,"Sassendorf, Bad-Beusingsen","Nordrhein-Westfalen"
448815.474041925,5673733.50837803,"56","4488","2006/08/01","2020/11/04","443",51.2127,8.2672,"Schmallenberg-Sellinghausen","Nordrhein-Westfalen"
366594.892698693,5667122.63342836,"57","4741","2004/12/01","2020/11/04","152",51.14,7.093,"Solingen-Hohenscheid","Nordrhein-Westfalen"
386417.401958821,5775382.73348364,"58","4849","2005/06/01","2020/11/04","64",52.1173,7.3411,"Steinfurt-Burgsteinfurt","Nordrhein-Westfalen"
321757.61976778,5685145.06069758,"59","5064","2004/12/01","2020/11/04","37",51.2897,6.4437,"Tönisvorst","Nordrhein-Westfalen"
507759.680912861,5705868.82395492,"60","5347","1995/09/01","2020/11/04","236",51.5039,9.1118,"Warburg","Nordrhein-Westfalen"
449010.220189065,5698110.77943058,"61","5360","2007/07/01","2020/11/04","331",51.4319,8.2665,"Warstein-Hirschberg","Nordrhein-Westfalen"
422936.155168365,5714500.76190124,"62","5480","2003/09/10","2020/11/04","85",51.5763,7.8879,"Werl","Nordrhein-Westfalen"
422840.102584909,5793918.55678371,"63","5513","2005/09/01","2020/11/04","92",52.2902,7.8687,"Westerkappeln","Nordrhein-Westfalen"
389763.310287782,5669210.74357507,"64","5619","2004/12/01","2020/11/04","360",51.1637,7.4234,"Wipperfürth-Gardeweg","Nordrhein-Westfalen"
484632.523620113,5710201.26462893,"65","5699","2004/11/01","2020/11/04","312",51.5427,8.7784,"Wünnenberg-Eilern","Nordrhein-Westfalen"
367693.628204171,5676618.81041008,"66","5717","2006/09/01","2020/11/04","134",51.2256,7.1052,"Wuppertal-Buchenhofen","Nordrhein-Westfalen"
