X,Y,"fid","station_id","date_from","date_to","altitude","latitude","longitude","name","state"
32421653.3476376,5663131.32447885,"1","216","2004/10/01","2020/11/04","298",51.1143,7.8807,"Attendorn-Neulisternohl","Nordrhein-Westfalen"
32460142.4550809,5651624.3300988,"2","389","2009/11/01","2020/11/04","436",51.0148,8.4318,"Berleburg, Bad-Arfeld","Nordrhein-Westfalen"
32455658.5207674,5648202.19266706,"3","390","2004/07/01","2020/11/04","610",50.9837,8.3683,"Berleburg, Bad-Stünzel","Nordrhein-Westfalen"
32330249.1923863,5744922.52819594,"4","554","1995/09/01","2020/11/04","23",51.8293,6.5365,"Bocholt-Liedern (Wasserwerk)","Nordrhein-Westfalen"
32373247.6071413,5621260.9073488,"5","603","1999/03/03","2020/11/04","147",50.7293,7.204,"Königswinter-Heiderhof","Nordrhein-Westfalen"
32516107.5992176,5712983.94264673,"6","613","2004/11/01","2020/11/04","206",51.5677,9.2324,"Borgentreich","Nordrhein-Westfalen"
32354490.8915367,5749024.8330237,"7","617","2004/06/01","2020/11/04","47",51.873,6.8863,"Borken in Westfalen","Nordrhein-Westfalen"
32512009.7556129,5728231.47392192,"8","644","2005/01/01","2020/11/04","150",51.7049,9.1738,"Brakel","Nordrhein-Westfalen"
32438329.4588037,5623011.67228503,"9","796","2004/11/01","2020/11/04","412",50.7556,8.1257,"Burbach-Würgendorf","Nordrhein-Westfalen"
32373477.6676414,5758391.12843559,"10","871","2005/08/01","2020/11/04","87",51.9618,7.1585,"Coesfeld","Nordrhein-Westfalen"
32326745.806219,5587226.79287088,"11","902","2006/10/01","2020/11/04","573",50.4115,6.5615,"Dahlem-Schmidtheim","Nordrhein-Westfalen"
32470048.4181749,5737048.07892304,"12","934","2004/10/01","2020/11/04","88",51.7835,8.5658,"Delbrück","Nordrhein-Westfalen"
32346510.0634393,5716262.03636258,"13","989","2005/02/01","2020/11/04","46",51.5765,6.7849,"Dinslaken","Nordrhein-Westfalen"
32349588.318408,5664887.4740211,"14","1024","2006/08/01","2020/11/04","37",51.1157,6.851,"Dormagen-Zons","Nordrhein-Westfalen"
32413920.6517409,5734914.33200024,"15","1046","2004/10/01","2020/11/04","72",51.7585,7.7528,"Drensteinfurt","Nordrhein-Westfalen"
32344430.4561328,5685106.64318296,"16","1078","1995/09/01","2020/11/04","37",51.296,6.7686,"Düsseldorf","Nordrhein-Westfalen"
32467335.977305,5777829.30683487,"17","1241","2006/12/01","2020/11/04","128",52.15,8.5226,"Enger","Nordrhein-Westfalen"
32435290.1669107,5743860.08788903,"18","1246","2015/08/01","2020/11/04","104",51.8418,8.0607,"Ennigerloh-Ostenfelde","Nordrhein-Westfalen"
